CODEBUCH FK 21,
,
edgelist,
from,definiert den Sender. Entspricht ID in der Nodelist
to ,definiert den Empfänger. Entspricht ID in der Nodelist
relationship,"definiert die Art der Beziehung: 1 = Geschäftsführer Fynns Firmen, 2 = Kooperationspartner, 3 = Investor, 4 = Unterfirma, 5 = Geschäftspartner eigene Firma, 6 = Geschäftsführer andere Firma, 7 = Geschäftspartner andere Firma"
time,"definiert den Zeitraum, in dem die Beziehung zwischen zwei Knoten stattgefunden hat  in Jahren"
weight,definitert die Stärke der Beziehungen gemessen an der Art der Beziehung von 1 = schwach bis 4= stark
nodelist,
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  "
name,Name oder Bezeichnung des Knotens. 
periodstart,definiert den Anfang der Geschäftsbeziehung in Jahreszahlen
periodend,definiert das Ende der Geschäftsbeziehung in Jahreszahlen
type,"definiert die Art des Knotens: 1 = Firma, 2 = Kliemanns Firmen, 3 = Person, 4 = Fynn"
,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus.."
